Qual é a sua relação com a Univesp?,Qual o seu nível de familiaridade com o uso de bibliotecas digitais?,Para quais finalidades você usaria uma biblioteca digital?," Você já teve dificuldades para acessar materiais acadêmicos? Se sim, quais?",Qual tipo de material você mais busca?,Quais recursos você considera essenciais em uma biblioteca digital?,Como você prefere acessar conteúdos em uma biblioteca digital?,Você acredita que um sistema de recomendação (sugestões personalizadas de leitura) seria útil?,"Você considera importante que a biblioteca digital tenha uma área de interação entre os usuários (ex.: fóruns de discussão, resenhas e recomendações)?",Você teria interesse em contribuir com materiais acadêmicos para a biblioteca digital?,"Em sua opinião, quais desafios podem surgir na implementação de uma biblioteca digital?",Você estaria disposto a testar a biblioteca digital e dar feedback sobre sua usabilidade?,Você utiliza livros físicos no seu dia a dia?,Quantos livros físicos você possui?,Você cataloga seus livros de alguma forma?,"Se você utiliza um sistema de catalogação, qual tipo de ferramenta você usa atualmente?",Você gostaria de receber orientação ou treinamento sobre como melhorar o processo de catalogação?, Você acha que a catalogação dos livros ajudaria a melhorar a gestão do acervo?,"Se você estiver respondendo por uma instituição, quantos livros físicos estão disponíveis na biblioteca atualmente?",A instituição possui um sistema de catalogação de livros?,Qual a importância da catalogação dos livros para a sua instituição ou projeto?,Qual a importância da catalogação dos livros para a sua instituição ou projeto?
Nenhum,Nunca utilizei,Desenvolvimento profissional,Falta de conhecimento sobre bibliotecas digitais,Livros físicos,"Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações",Todos,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Dificuldade na manutenção da plataforma, Questões de direitos autorais, Dificuldade de navegação e usabilidade",Sim,Sim,Mais de 200,Não,Não utilizo nenhum sistema específico,Sim,Sim,,Não sei informar,5,
Nenhum,Utilizo ocasionalmente sem dificuldades,Estudo individual,Nunca tive dificuldades,Livros físicos,Informações sobre disponibilidade de versão impressa,Todos,Sim,Sim,Não,Dificuldade para catalogação de mídia impressa,Sim,Sim,Mais de 200,Sim,Catalogação manual (papel e caneta),Sim,Sim,,,5,Importantíssima 
Nenhum,Utilizo ocasionalmente sem dificuldades,"Pesquisa acadêmica, Ensino e planejamento de aulas","Materiais restritos (acesso pago), Problemas técnicos (lento, incompatível com dispositivos)","Livros digitais (e-books), Livros físicos, Artigos científicos, Teses e dissertações","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Suporte para acessibilidade (leitor de tela, alto contraste), Informações sobre disponibilidade de versão impressa, Contato do autor/ editora e informações importantes como ano de publicação…",Todos,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Falta de adesão dos usuários, Dificuldade na manutenção da plataforma, Dificuldade para catalogação de mídia impressa",Sim,Sim,Menos de 50,Não,Catalogação manual (papel e caneta),Talvez,Sim,,,5,De extrema importância uma vez que a pesquisa fica fluía e encontramos os materiais com mais facilidade!
Nenhum,Nunca utilizei,Desenvolvimento profissional,"Falta de uma plataforma centralizada, Materiais restritos (acesso pago), Falta de conhecimento sobre bibliotecas digitais","Livros digitais (e-books), Legislações","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações, Suporte para acessibilidade (leitor de tela, alto contraste)",Leitura online diretamente na plataforma,Sim,Não,Não,Dificuldade de navegação e usabilidade,Sim,Não,Entre 50 e 100,Não,Não utilizo nenhum sistema específico,Não,Não,,,5,
Nenhum,Nunca utilizei,Gostaris muito de acessar  audio book,Falta de conhecimento sobre bibliotecas digitais,Audio livros ,Acesso gratuito,Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto",Questões de direitos autorais,Não,Sim,Entre 50 e 100,Não,Não utilizo nenhum sistema específico,Talvez,Sim,,,5,Facilidade de acesso e organização pra pesquisadores 
Nenhum,"Já utilizei algumas vezes, mas com dificuldades",Desenvolvimento profissional,"Falta de uma plataforma centralizada, Falta de conhecimento sobre bibliotecas digitais","Livros físicos, Artigos científicos","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.)",Download para leitura offline,Sim,Sim,Não,Dificuldade de navegação e usabilidade,Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,,,4,
Nenhum,Utilizo ocasionalmente sem dificuldades,Aperfeiçoamento individual,Nunca tive dificuldades,Teses e dissertações,"Acesso gratuito, Ferramenta de busca avançada, Área personalizada para salvar favoritos e anotações",Download para leitura offline,Sim,Sim,Não,Falta de adesão dos usuários,Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Talvez,Sim,Mais de 1000,Sim,5,"Acessórios fácil, Organização, transmitir responsabilidade, entre outros."
Nenhum,Utilizo ocasionalmente sem dificuldades,Pesquisa acadêmica,Falta de uma plataforma centralizada,Artigos científicos,"Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações, Integração com ferramentas externas (Google Drive, OneDrive), Suporte para acessibilidade (leitor de tela, alto contraste), Informações sobre disponibilidade de versão impressa",Todos,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto",Dificuldade de navegação e usabilidade,Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Talvez,Sim,,,5,Melhor organização interna e aos usuários 
Nenhum,Nunca utilizei,Estudo individual,Falta de conhecimento sobre bibliotecas digitais,Livros digitais (e-books),Acesso gratuito,Download para leitura offline,Sim,Sim,Não,Dificuldade de navegação e usabilidade,Sim,Não,Menos de 50,Não,Não utilizo nenhum sistema específico,Não,Sim,,,5,
Nenhum,Utilizo ocasionalmente sem dificuldades,Estudo individual,"Materiais restritos (acesso pago), Falta de conhecimento sobre bibliotecas digitais","Livros digitais (e-books), Apostilas e materiais didáticos","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações, Integração com ferramentas externas (Google Drive, OneDrive), Suporte para acessibilidade (leitor de tela, alto contraste), Informações sobre disponibilidade de versão impressa",Todos,Sim,Sim,Não,"Falta de adesão dos usuários, Dificuldade na manutenção da plataforma, Questões de direitos autorais",Sim,Sim,Entre 50 e 100,Não,Não utilizo nenhum sistema específico,Talvez,Sim,,,4,
Nenhum,Utilizo ocasionalmente sem dificuldades,Pesquisa acadêmica,Materiais restritos (acesso pago),"Livros digitais (e-books), Artigos científicos, Apostilas e materiais didáticos","Acesso gratuito, Ferramenta de busca avançada, Área personalizada para salvar favoritos e anotações, Suporte para acessibilidade (leitor de tela, alto contraste)",Leitura online diretamente na plataforma,Sim,Não,Não,"Falta de adesão dos usuários, Dificuldade na manutenção da plataforma, Dificuldade de navegação e usabilidade",Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Talvez,Sim,,,5,
Nenhum,Utilizo ocasionalmente sem dificuldades,"Estudo individual, Pesquisa acadêmica, Desenvolvimento profissional","Falta de uma plataforma centralizada, Materiais restritos (acesso pago)","Livros digitais (e-books), Artigos científicos","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações, Integração com ferramentas externas (Google Drive, OneDrive), Suporte para acessibilidade (leitor de tela, alto contraste), Personalização (tamanho de letras) e marcador (onde parou a leitura)",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Falta de adesão dos usuários, Dificuldade na manutenção da plataforma, Questões de direitos autorais",Sim,Sim,Entre 50 e 100,Sim,Catalogação manual (papel e caneta),Talvez,Sim,,,5,
Nenhum,Utilizo ocasionalmente sem dificuldades,"Estudo individual, Desenvolvimento profissional",Falta de Sistema de busca avancado ,Livros digitais (e-books),"Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações",Leitura online diretamente na plataforma,Não,Sim,Não,"Falta de adesão dos usuários, Dificuldade na manutenção da plataforma, Questões de direitos autorais, Dificuldade de navegação e usabilidade, Dificuldade para catalogação de mídia impressa",Não,Sim,Entre 50 e 100,Sim,Aplicativo celular organizador  de leiturade,Não,Sim,,Não sei informar,5,
Nenhum,Nunca utilizei,"Estudo individual, Desenvolvimento profissional","Falta de uma plataforma centralizada, Materiais restritos (acesso pago), Problemas técnicos (lento, incompatível com dispositivos), Falta de conhecimento sobre bibliotecas digitais","Livros digitais (e-books), Artigos científicos, Teses e dissertações, Apostilas e materiais didáticos","Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações, Integração com ferramentas externas (Google Drive, OneDrive)",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Dificuldade na manutenção da plataforma, Questões de direitos autorais, Dificuldade de navegação e usabilidade",Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Talvez,Sim,Menos de 100,Não sei informar,4,
Nenhum,Utilizo ocasionalmente sem dificuldades,"Pesquisa acadêmica, Ensino e planejamento de aulas","Falta de uma plataforma centralizada, Materiais restritos (acesso pago)","Artigos científicos, Teses e dissertações","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.)",Todos,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Falta de adesão dos usuários, Questões de direitos autorais, Dificuldade de navegação e usabilidade",Sim,Sim,Entre 100 e 200,Não,Não utilizo nenhum sistema específico,Sim,Sim,,,5,
Nenhum,"Já utilizei algumas vezes, mas com dificuldades",Pesquisa acadêmica,"Problemas técnicos (lento, incompatível com dispositivos)",Legislações,"Opção de download em diferentes formatos (PDF, EPUB, etc.)",Todos,Sim,Sim,Não,Questões de direitos autorais,Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Não,Sim,,,5,
Nenhum,Utilizo ocasionalmente sem dificuldades,Desenvolvimento profissional,Falta de conhecimento sobre bibliotecas digitais,"Livros digitais (e-books), Livros físicos, Artigos científicos","Acesso gratuito, Ferramenta de busca avançada",Leitura online diretamente na plataforma,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto",Falta de adesão dos usuários,Sim,Sim,Menos de 50,Sim,Software específico de catalogação,Sim,Sim,Entre 100 e 500,Sim,5,
Nenhum,Nunca utilizei,"Estudo individual, Pesquisa acadêmica, Ensino e planejamento de aulas, Desenvolvimento profissional","Falta de uma plataforma centralizada, Problemas técnicos (lento, incompatível com dispositivos)",Livros físicos,"Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações, Integração com ferramentas externas (Google Drive, OneDrive), Suporte para acessibilidade (leitor de tela, alto contraste), Informações sobre disponibilidade de versão impressa",Todos,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Falta de adesão dos usuários, Dificuldade na manutenção da plataforma, Questões de direitos autorais, Dificuldade de navegação e usabilidade",Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,,,5,
Nenhum,Utilizo ocasionalmente sem dificuldades,"Estudo individual, Pesquisa acadêmica","Falta de uma plataforma centralizada, Materiais restritos (acesso pago), Problemas técnicos (lento, incompatível com dispositivos)","Livros digitais (e-books), Artigos científicos, Apostilas e materiais didáticos","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Informações sobre disponibilidade de versão impressa",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto",Dificuldade de navegação e usabilidade,Sim,Não,Nenhum,Não,Não utilizo nenhum sistema específico,Não,Sim,Entre 100 e 500,Não sei informar,5,Quanto mais organizado mais fácil será o acesso.
Ex aluno ,Utilizo ocasionalmente sem dificuldades,Pesquisa acadêmica,Materiais restritos (acesso pago),"Artigos científicos, Teses e dissertações","Acesso gratuito, Área personalizada para salvar favoritos e anotações, Integração com ferramentas externas (Google Drive, OneDrive)",Leitura online diretamente na plataforma,Sim,Não,"Sim, caso houvesse um processo de submissão aberto","Dificuldade na manutenção da plataforma, Dificuldade para catalogação de mídia impressa",Sim,Não,Menos de 50,Não,Não utilizo nenhum sistema específico,Talvez,Não,,,3,
Nenhum,Utilizo ocasionalmente sem dificuldades,Estudo individual,"Falta de uma plataforma centralizada, Materiais restritos (acesso pago)","Livros digitais (e-books), Livros físicos, Artigos científicos, Apostilas e materiais didáticos","Acesso gratuito, Opção de download em diferentes formatos (PDF, EPUB, etc.)",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Falta de adesão dos usuários, Questões de direitos autorais",Sim,Não,Entre 50 e 100,Não,Não utilizo nenhum sistema específico,Sim,Sim,Menos de 100,Não sei informar,4,separação por tipagem de obra é algo interessante para os usuários
Aluno,Nunca utilizei,Pesquisa acadêmica,Materiais restritos (acesso pago),Livros digitais (e-books),Acesso gratuito,Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Dificuldade na manutenção da plataforma, Questões de direitos autorais",Sim,Não,Menos de 50,Não,Não utilizo nenhum sistema específico,Talvez,Sim,,,5,
Nenhum,Utilizo ocasionalmente sem dificuldades,"Estudo individual, Pesquisa acadêmica, Desenvolvimento profissional","Falta de uma plataforma centralizada, Materiais restritos (acesso pago)","Livros digitais (e-books), Livros físicos, Teses e dissertações, Apostilas e materiais didáticos","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.)",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Falta de adesão dos usuários, Questões de direitos autorais",Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,Entre 500 e 1000,Não sei informar,5,
Nenhum,Utilizo ocasionalmente sem dificuldades,"Estudo individual, Pesquisa acadêmica, Desenvolvimento profissional","Falta de uma plataforma centralizada, Materiais restritos (acesso pago)","Livros digitais (e-books), Livros físicos, Artigos científicos, Apostilas e materiais didáticos","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.)",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Falta de adesão dos usuários, Questões de direitos autorais",Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,,,5,
Nenhum,Nunca utilizei,Desenvolvimento profissional,Falta de conhecimento sobre bibliotecas digitais,Livros digitais (e-books),"Integração com ferramentas externas (Google Drive, OneDrive)",Todos,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto",Questões de direitos autorais,Sim,Não,Entre 50 e 100,Sim,Não utilizo nenhum sistema específico,Sim,Sim,,,5,
Nenhum,"Já utilizei algumas vezes, mas com dificuldades",Desenvolvimento profissional,Nunca tive dificuldades,Livros digitais (e-books),"Acesso gratuito, Integração com ferramentas externas (Google Drive, OneDrive)",Leitura online diretamente na plataforma,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Dificuldade na manutenção da plataforma, Questões de direitos autorais, Dificuldade para catalogação de mídia impressa",Sim,Sim,Entre 50 e 100,Não,Não utilizo nenhum sistema específico,Talvez,Sim,,,5,
Nenhum,"Já utilizei algumas vezes, mas com dificuldades",Pesquisa acadêmica,"Falta de uma plataforma centralizada, Materiais restritos (acesso pago), Falta de conhecimento sobre bibliotecas digitais","Livros digitais (e-books), Livros físicos, Artigos científicos",Acesso gratuito,Leitura online diretamente na plataforma,Sim,Sim,Não,Dificuldade na manutenção da plataforma,Sim,Sim,Menos de 50,Não,Catalogação manual (papel e caneta),Não,Sim,,,5,
Nenhum,Nunca utilizei,"Estudo individual, Desenvolvimento profissional","Falta de uma plataforma centralizada, Materiais restritos (acesso pago)","Livros digitais (e-books), Artigos científicos, Apostilas e materiais didáticos","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações, Integração com ferramentas externas (Google Drive, OneDrive), Suporte para acessibilidade (leitor de tela, alto contraste), Informações sobre disponibilidade de versão impressa",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto",Questões de direitos autorais,Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,,,5,
Nenhum,"Já utilizei algumas vezes, mas com dificuldades","Estudo individual, Desenvolvimento profissional",Materiais restritos (acesso pago),"Livros físicos, Artigos científicos, Apostilas e materiais didáticos","Acesso gratuito, Opção de download em diferentes formatos (PDF, EPUB, etc.)",Todos,Não,Não,"Sim, caso houvesse um processo de submissão aberto","Dificuldade na manutenção da plataforma, Questões de direitos autorais",Sim,Sim,Entre 100 e 200,Sim,Por enquanto num HD externo,Sim,Sim,,Não sei informar,5,
Nenhum,Nunca utilizei,Pesquisa acadêmica,Falta de uma plataforma centralizada,"Teses e dissertações, Apostilas e materiais didáticos","Acesso gratuito, Ferramenta de busca avançada",Leitura online diretamente na plataforma,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto",Falta de adesão dos usuários,Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,Entre 500 e 1000,Sim,5,E primordial para se efetuar uma pesquisa
